word,Subjective,Ambiguous,Nonverifiable,Negative,Vague,conflict
',,,,,',0
's,,,,,'s,0
able,,able,,,,0
acceptable,,acceptable,,,,0
accidental,,accidental,,,,0
additional,,additional,additional,,,1
additionally,,additionally,,,,0
advanced,advanced,,,,,0
advisory,advisory,,,,,0
all,,,,,all,0
already,,already,,,,0
alternative,alternative,,,,,0
another,another,,,,another,1
any,,,,,any,0
appealing,appealing,,,,,0
appearance,appearance,,,,,0
appropriate,appropriate,appropriate,,,,1
appropropriate,appropropriate,,,,,0
area,area,,,,,0
asrequired,,,asrequired,,,0
atleast,,atleast,,,,0
audible,audible,,,,,0
authentication,authentication,,,,,0
authorities,authorities,,,,,0
automatic,automatic,automatic,,,,1
automatically,,automatically,,,,0
available,available,available,,,,1
availdirect,,availdirect,,,,0
average,average,,,,,0
bit,,bit,,,,0
cannot,,,,cannot,,0
capable,,capable,,,,0
capappropriate,,capappropriate,,,,0
capmain,,capmain,,,,0
capmaximum,,capmaximum,,,,0
capsimple,,capsimple,,,,0
capstandard,,capstandard,,,,0
case,case,,,,,0
ceiling,ceiling,,,,,0
certain,certain,certain,,,,1
clean,clean,,,,,0
clear,clear,clear,,,,1
clearly,,clearly,,,,0
commercial,,commercial,,,,0
common,,common,,,,0
compact,compact,,,,,0
compatible,compatible,,,,,0
complies,complies,,,,,0
condition,,,condition,,,0
control,control,,,,,0
correct,,correct,,,,0
correctly,,correctly,,,,0
critical,critical,,,,,0
current,,current,,,,0
currently,,currently,,,,0
danger,danger,,,,,0
day,day,,,,,0
default,default,,,,,0
defined,,,defined,,,0
dependent,,dependent,,,,0
description,,,description,,,0
desirable,desirable,,,,,0
detail,,,detail,,,0
detailed,,detailed,,,,0
details,,,details,,,0
different,different,different,different,,,1
direct,,direct,,,,0
distinct,,distinct,,,,0
distinctive,distinctive,,,,,0
each,,each,,,each,1
ease,ease,,,,,0
easily,easily,,,,easily,1
easy,easy,easy,,,,1
effective,,effective,,,,0
efficient,efficient,,,,,0
electrical,,electrical,,,,0
emergency,emergency,,,,,0
end,,end,,,,0
enough,,,,,enough,0
environmental,,environmental,,,,0
equivalents,equivalents,,,,,0
explanatory,explanatory,,,,,0
external,external,external,,,,1
extremely,,extremely,,,,0
facilities,,,facilities,,,0
familiar,familiar,,,,,0
fast,fast,fast,,,,1
final,,final,,,,0
freely,,freely,,,,0
friendly,friendly,,,,,0
full,,full,full,,,1
functional,,functional,,,,0
general,,general,,,,0
great,,great,,,,0
high,high,high,,,,1
human,,human,,,,0
important,,important,,,,0
include,,,include,,,0
including,,,including,,,0
indicated,,,indicated,,,0
indication,,,indication,,,0
individual,,individual,,,,0
information,,,information,,,0
interchangeable,,,interchangeable,,,0
internal,,internal,,,,0
international,international,international,,,,1
intuitive,intuitive,,,,,0
it,,,,,it,0
its,,,,,its,0
large,large,large,large,,,1
last,,last,,,,0
later,,later,,,,0
learn,learn,,,,,0
least,,,,,least,0
legibility,legibility,,,,,0
less,,,,,less,0
limit,,,limit,,,0
limited,,,limited,,,0
logical,,logical,,,,0
low,low,low,,,,1
matter,matter,,,,,0
maximum,maximum,maximum,maximum,,,1
may,,may,,,,0
means,means,,,,,0
medium,,medium,,,,0
minimal,,minimal,,,,0
minimum,,minimum,minimum,,,1
mobile,,mobile,,,,0
modern,modern,,,,,0
more,,,more,,,0
multiple,,,multiple,,,0
national,,national,,,,0
necessary,,necessary,,,,0
never,,,,never,,0
new,new,new,,,,1
night,night,,,,,0
no,,,,no,,0
normal,normal,normal,,,,1
not,,,,not,,0
numerous,,numerous,,,,0
old,old,,,,,0
one,,,,,one,0
only,,only,,,,0
original,original,,,,,0
other,,other,,,other,1
otherwise,,otherwise,,,,0
overall,,overall,,,,0
part,part,,,,,0
partial,partial,,,,,0
particular,,particular,,,,0
period,,period,,,,0
periodic,periodic,,,,,0
physical,,physical,,,,0
possibility,,possibility,,,,0
possible,,possible,possible,,,1
pre-defined,pre-defined,,,,,0
pre-determind,,,pre-determind,,,0
present,,present,,,,0
previous,,previous,,,,0
prior,,prior,,,,0
priorities,priorities,,,,,0
private,,private,,,,0
professional,professional,,,,,0
public,,public,,,,0
quality,quality,,,,,0
range,,,range,,,0
rapid,rapid,,,,,0
readability,readability,,,,,0
readable,readable,,,,,0
real,,real,,,,0
reasonable,reasonable,reasonable,,,,1
reference,reference,,,,,0
regular,,regular,,,,0
regulate,regulate,,,,,0
related,related,,,,,0
relevant,relevant,,,,,0
responsible,,responsible,,,,0
rugged,rugged,,,,,0
safety,safety,,,,,0
same,same,,,,,0
satisfied,satisfied,,,,,0
search,search,,,,,0
self,self,,,,,0
self-explanatory,self-explanatory,,,,,0
sensitive,sensitive,sensitive,,,,1
separate,,separate,,,,0
several,,,several,,,0
short,short,short,,,,1
short-term,,,short-term,,,0
signal,,signal,,,,0
signaling,signaling,,,,,0
significant,,significant,,,,0
similar,,similar,,,,0
simple,simple,simple,,,,1
simplified,,,simplified,,,0
slight,,slight,,,,0
small,small,,,,,0
some,,some,,,some,1
someone,,,,,someone,0
something,something,,,,,0
soon,soon,,,,,0
special,special,special,,,,1
specific,specific,specific,,,,1
standard,standard,standard,standard,,,1
standardised,standardised,,,,,0
standardized,standardized,,,,,0
standards,standards,,,,,0
static,static,,,,,0
steps,steps,,,,,0
stoppingdistance,stoppingdistance,,,,,0
straightforward,straightforward,,,,,0
successful,,successful,,,,0
such,,such,such,,such,1
sufficient,sufficient,sufficient,sufficient,,,1
suitable,suitable,suitable,suitable,,,1
super-user,super-user,,,,,0
support,support,,support,,,1
system,system,,,,,0
technical,,technical,,,,0
that,,,,,that,0
them,,,,,them,0
then,,then,,,,0
these,,,,,these,0
this,,,,,this,0
to,to,,,,,0
too,,,too,,,0
typical,,typical,,,,0
understandable,understandable,,,,,0
unit,unit,,,,,0
upon,,upon,,,,0
use,use,,,,,0
valid,valid,,,,,0
validate,validate,,validate,,,1
various,,various,,,,0
ways,ways,,,,,0
which,,,,,which,0
whichever,,,,,whichever,0
who,,,,,who,0
wide,,wide,wide,,,1
widely,,widely,,,,0
without,,,,without,,0
wrong,,wrong,,,,0
