Text,Subjective,Ambiguous,Nonverifiable,Negative,Vague
"ETCS shall provide the driver with information to allow him to drive the train safely.
",safely,-,-,-,-
"ETCS shall be able to supervise train and shunting movements.
",-,-,-,-,-
"If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.
",unit,-,-,-,it
"ETCS is required to be functional to a maximum train speed of 500 km/h.
",-,-,-,-,-
"It shall be possible to implement one or more of the ETCS application levels on a line.
",-,-,-,-,-
"The current application level shall be indicated on the DMI.
",-,-,-,-,-
"ETCS shall be compatible with existing national systems listed in the CCS TSI such that it does not interfere with the national systems and is not interfered with by the national systems.
",-,-,-,not*not,it
"Any transition which occurs while the train is moving shall in principle occur automatically.
",-,-,-,-,-
"Transitions which occur while the train is stationary, shall be initiated automatically or manually as appropriate.
",-,-,-,-,-
"In case the transition has to be acknowledged and the driver fails to acknowledge as required, the ETCS shall initiate a brake application
",case,-,asrequired,-,-
"During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state.
",-,atleast,-,-,-
"If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.
",-,-,-,-,it
"National values shall be applicable to a defined area
",-,-,defined,-,-
"Once received onboard the national values shall remain valid even if the onboard equipment is switched off
",valid,-,-,-,-
"If the on-board has no valid national values for the current location, default values shall be used by the onboard equipment.
",valid*default,-,-,-,-
"Default values shall be harmonised values, permanently stored in all ERTMS/ETCS on board equipment
",default,-,-,-,-
"At Start Up, the on board equipment shall perform an automatic self-test.
",automatic,-,-,-,-
"The test shall require no action on the part of the driver.
",part,-,-,-,-
"The driver shall be able to select Train Data Entry on the DMI.
",-,-,-,-,-
"Entering or overwriting data manually by the driver shall be possible but only when stationary.
",-,-,-,-,-
The driver shall be able to consult train data when the train is stationary or moving.,-,-,-,-,-
"Current train data shall be stored (except at transition to shunting) in the ETCS equipment until the traction unit is not operative.
",until,-,-,-,-
"The system for Train Data Entry shall provide for the input of other data required by STMs connected to ETCS. This may require additional items, not required for ETCS, to be entered.
",-,-,additional,-,other
The change of driver identification during a journey or a Train Running Number shall be possible,-,-,-,-,-
"Following successful completion of Train Data Entry, the driver shall be able to perform shunting movements or train movements.",successful,-,-,-,-
"The following data may be entered manually by the driver provided by external sources
:
",external,-,-,-,-
"If the onboard fails to contact the RBC when awakening the driver shall be asked to enter the RBC contact details
",-,-,detail,-,-
"To prevent unauthorised use of the function permission shall be obtained from the RBC if the train is operating under the control of the RBC.
",-,-,-,-,-
"It shall be possible to manually select Shunting from Stand By operation, Full Supervision operation or Partial Supervision operation
",Partial,-,-,-,-
"Automatic transfer to Shunting may be from Full Supervision operation and Partial Supervision operation status at any speed lower than or equal to the supervised shunting speed based on trackside information.
",automatic*Partial,-,-,-,-
"Exit from Shunting shall take place when the driver selects exit from shunting.
",-,-,-,-,-
"Partial Supervision shall be selected either by the Driver, or by information received from track-to-train transmission.
",Partial,-,-,-,-
"If acknowledgement is specified the driver shall acknowledge transfer from Full Supervision to Partial Supervision within 5 seconds
",Partial,-,-,-,-
"In Partial Supervision the train shall be supervised according to train speed and distance data available.
",available*Partial,-,-,-,-
"The train shall have the capability of being supervised to a ceiling speed.
",ceiling,-,-,-,-
"This ceiling speed shall not be shown continually on the DMI but may be shown momentarily when selected by the driver.
",ceiling,-,-,-,-
"The train shall leave Partial Supervision when the trainborne equipment is not operative any longer, when Shunting is selected or when Full Supervision is available.
",Partial*available,-,-,-,-
"Transferring to Full Supervision shall occur automatically when a movement authority and all other necessary information is received through track-to-train transmission.
",necessary,-,-,-,-
"The trainborne equipment shall remain in Full Supervision until the trainborne equipment is not active any longer, when Shunting is selected or when Partial Supervision information is received.
",active*Partial,-,-,-,-
"The ETCS trainborne equipment shall be capable of receiving information from the national train control systems by means of the STM.
",means,-,-,-,-
"The DMI shall display or be compatible with information from national train control systems. This may mean displaying the information shown by the national system.
",compatible,-,-,-,-
"Unfitted operation shall be possible if selected by the driver at start up
",-,-,-,-,-
"The on board shall supervise the train against a ceiling speed
",ceiling,-,-,-,-
"The ceiling speed value for the unfitted operation is determined by the lower value out of
",ceiling,-,-,-,-
"The onboard shall be capable to switch to another ETCS status when transmitted from trackside
",-,-,-,-,another
"The trackside shall be able to send information for the calculation of speed profiles.
",-,-,-,-,-
"If track data at least to the location where the relevant movement authority ends are not available on-board, the movement authority shall be rejected.
",relevant,atleast,-,-,-
"Track to train transmission shall provide the capability to send different speed profiles for specific train categories.
",different,-,-,-,-
"The target distance to be displayed on the DMI shall be based on the most restrictive braking curve.
",-,end,-,-,-
"The ceiling speed level for the movement authority shall be defined as data National Value.
",ceiling,-,-,-,-
"The train shall be supervised according to train speed data available.
",available,-,-,-,-
"The train shall, as a minimum, be supervised to a ceiling speed; the supervised speed shall not be shown on the DMI unless selected by the driver.
",ceiling,-,-,-,-
"The target distance shall not be shown on the DMI unless selected by the driver.
",-,-,-,not,-
"On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear
",-,-,-,-,him
"ETCS shall collect all relevant information concerning train and line speed.
",relevant,-,-,-,-
"ETCS shall calculate the permitted speed for the train for all locations of the authorised movement.
",authorised,-,-,-,-
"This static train speed profile shall also respect maximum line speed and track speed and special speed levels for special classes of trains.
",static*special,-,-,-,-
"Based on all relevant data, the ETCS shall calculate an emergency braking curve and a service braking curve
",relevant*emergency,-,-,-,-
"When changing to a lower speed level, the front end of the train shall respect the dynamic train speed profile.
",dynamic,-,-,-,-
"When changing to a higher speed level the rear end of the train shall respect the static train speed profile.
",static,-,-,-,-
"It shall be possible to define certain locations (e.g. tunnels) where speed increase is related to the front of the train.
",-,-,-,-,-
"The braking curves shall ensure that the train complies with its speed requirements.
",complies,-,-,-,its
"Where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point.
",danger,-,full,-,-
"The release speed shall be indicated on the DMI.
",-,-,-,-,-
"If the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point
",danger,-,-,-,-
"Each railway shall have the possibility of allowing a different release speed for every signal.
",-,-,-,-,-
"The train location calculation shall take into account error of odometry.
",-,-,-,-,-
"There shall be no discrepancy between the speed shown to the driver and the speed used for supervision of movement authorities and speed limits, function ",authorities,-,limit,-,-
The indication provided shall enable the driver to drive at the permitted speed without receiving a warning and without intervention of ETCS.,-,-,indication,-,-
Visual and acoustic warnings to the driver about possible intervention from ETCS shall be given to enable the driver to react and avoid intervention.,-,-,possible,-,-
"The driver shall have the possibility to select the language, this does not concern non pre-defined texts sent from the trackside.",concern*static*dynamic,-,-,doesnot,this
A train shall be supervised to its static and dynamic train speed profiles.,-,-,-,-,its
"Within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from ETCS equipment at least 5 sec. before the intervention.
",-,atleast,-,-,-
"The driver shall be able to release an ETCS emergency brake application when stationary.
",-,-,-,-,-
"The roll away/reverse movement intervention shall be indicated on the DMI.
",-,-,indicated,-,-
"After releasing the emergency brake ETCS will provide the supervision appertaining when roll away protection was initiated
",-,-,-,-,-
"All data entered, received or indicated to the driver shall be recorded onboard. All data shall be related to UTC (Universal Time Corrected) and a reference point.
",reference,-,-,-,-
"Information shall be recorded to an accuracy which enables a clear view of the functioning of ETCS and way the traction unit has been driven.
",clear,-,-,-,-
"Standardised output interfaces shall enable transmission of information recorded to other media for investigation
",Standardised,-,-,-,-
"The following information shall be recorded:
",-,-,-,-,-
"It shall be possible to use multiple traction units without isolating the ETCS trainborne equipment on traction unit(s) with an in-operative cab.
",-,-,-,-,-
"The override control shall be protected against inadvertent operation.
",-,-,-,-,-
"A special indication shall be shown on the DMI.
",special,-,indication,-,-
"The supervised speed shall not be shown on the DMI.
",-,-,-,not,-
"The train shall be capable of receiving any track-to-train information intended and relevant for this train including movement authority.
",relevant,-,including,-,-
"It shall be possible to command a conditional emergency stop. If the train has already passed the location for the emergency stop the command shall be ignored
",-,-,-,-,-
"When a train has received an emergency stop ETCS shall command the emergency brake.
",-,-,-,-,-
"The emergency stop shall be indicated to the driver on the DMI.
",-,-,indicated,-,-
"It shall be possible to prevent a train from entering a route for which it does not meet the required criteria.
",-,-,required,not,which*it
"Route unsuitability shall be indicated on the DMI.
",-,-,indicated,-,-
"After overriding this function the movement authority shall be re-established.
",-,-,-,-,-
"When the traction unit is stationary the driver shall be required to acknowledge the train trip condition. This acknowledgement will release the emergency brake.
",-,-,-,-,-
"After the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value
",certain,-,-,-,-
"The train running number shall consist of a maximum of 8 numeric digits.
",-,maximum,-,-,-
"The ETCS on-board shall be capable of receiving information about pantograph and power supply from the trackside.
",-,-,-,-,-
"The ETCS trainborne equipment shall indicate on the DMI the information regarding pantograph and power supply.
",-,-,indicate,-,-
"The ETCS on-board shall be capable of receiving information regarding air tightness from the trackside.
",-,-,-,-,-
"The onboard equipment shall display plain text messages as received.
",-,-,-,-,-
"The character set used shall support different languages.
",-,-,-,-,-
"Fixed text messages shall be provided in the language selected by the driver
",-,-,-,-,-
"The ETCS on-board shall be capable of sending to the trackside train integrity information detected by a system outside ETCS
",outside,-,-,-,-
"It shall be possible to revoke a Movement Authority that has already been issued to a train in a co-operative way between RBC and train.
",-,-,-,-,-
"The co-operative revocation of the MA shall be possible to a new target location, proposed from RBC.
",-,-,-,-,-
"The new target location shall be checked for acceptance by the on board.
",new,-,-,-,-
"If a train cannot stop at the proposed new target location it shall reject the request and keep the old target location.
",new*old,-,-,-,-
"The Reversing function shall only be possible in one active cab which is not closed at any time during the procedure.
",-,-,-,-,-
"The train shall be able to automatically pass from one RBC area to another without driver intervention.
",-,-,-,-,another
"If the train is equipped with two operational radios there shall be no performance penalty as a result of a transition from one RBC to another (train spacing and train speed).
",-,-,-,no,another
"If the train is equipped with only one operational radio, passing from one RBC to another shall still be possible but might result in a performance penalty.
",-,-,-,-,-
"If there are failures of the trainborne equipment which compromise the safety of train supervision, the ETCS trainborne equipment shall immediately command the brake and bring the train to a stop.
",safety,-,-,-,-
"In ETCS with RBC this restriction on performance shall, if possible be transmitted to the RBC.
",-,-,possible,-,-
"
                The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.
            ",-,-,possible,-,-
