text,Subjective,Ambiguous,Nonverifiable,Negative,Vague
All mobiles are to support these services as defined in the relevant GSM specifications. The services will mainly be used to: (I),0,1,0,0,0
The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.,1,0,0,0,0
The emergency button shall be designed to avoid accidental use. (M),0,1,0,0,0
The RTP interface shall support distributed processing capability.,0,0,1,0,0
The land-based part of the system shall provide communications for mobiles when stationary and when travelling at speeds up to the maximum allowable line speed or,0,1,0,0,0
Support is required for a range of data communications between the ground and mobile users. Such applications may include: (I),1,0,1,0,0
The actions required from the driver will be as simple as possible. (I) Invoke tests,1,0,1,0,0
The trigger value is used in combination with the current temperature to determine when a heating or cooling unit shall be turned on or off.,0,1,0,0,0
"If run-time diagnostics are implemented, diagnostic tests shall not interfere with normal operation of the Cab radio. (M)",1,0,0,0,0
"The player clicks on the pushbutton ""OK"". The player statistics are recorded in the statistic file of the software, according to the requirement of the chapter.",0,0,1,0,0
The system shall employ easy to locate buttons,1,0,0,0,0
"Any displays shall be clearly readable from a normal drivers position, assuming a normal reading distance. (M)",1,0,0,0,0
It shall be possible for the user to find and display stored numbers and their information. (M),0,0,1,0,0
The TCS shall be capable of restoring power in sufficient time to avoid loss of air vehicle control during power outages.,0,0,1,0,0
Only documents that are directly referred to in this document are included in the document lists.,0,1,0,0,0
The system should be designed for access through browser-based systems and must impose minimal requirements on the client device,0,1,0,0,0
Asymmetric I/O calls shall not be allowed to induce a large enough skew to force the FCPs to desynchronize.,1,0,0,1,1
Current train data shall be stored (except at transition to shunting) in the ETCS equipment until the traction unit is not operative.,1,0,0,0,0
"The FTSS shall configure each ICP to perform IBIT Minimum Processing Environment (MPE) Tests, Power-up Tests, and Initial BIT on each ICP, as shown inTable 3.2-3.",0,0,0,0,1
"Any pressure pulses caused by vehicles passing, entering or leaving tunnels shall not affect the normal operation of EIRENE mobile equipment. (M) Physical conditions",1,0,0,0,0
"The TCS shall provide sufficient cues to allow the operator to safely take-off, land and navigate under Instrument Flight Rules.",0,0,1,0,0
"If no valid functional number is available, a fixed length User-to-User Information Element shall be used with the following format: (M)",0,1,0,0,0
